Timestamp,pH,Turbidity,Temperature,Dissolved_Oxygen,Chlorine,Flow_Rate,Coagulant_Dosing
6/7/2025 10:45:00,6.7,0.4,17,6,1.1,40,9
6/7/2025 11:00:00,6.8,0.4,17,7,1.5,40,8
6/7/2025 11:15:00,8.1,0.4,16,6,1.3,40,9
6/7/2025 11:30:00,7.4,0.5,20,7,1.3,40,10
6/7/2025 11:45:00,7.7,0.6,29,6,1.4,40,9
6/7/2025 12:00:00,7.1,0.5,24,8,1.1,40,10
6/7/2025 12:15:00,7.6,0.1,30,7,0.6,40,9
6/7/2025 12:30:00,8.1,0.5,21,7,0.6,40,9
6/7/2025 12:45:00,8,0.2,24,7,0.6,40,10
6/7/2025 13:00:00,8.2,0.2,16,7,1.5,40,10
6/7/2025 13:15:00,7.7,0.6,24,8,0.7,40,10
6/7/2025 13:30:00,7.6,0.2,23,5,0.9,40,10
6/7/2025 13:45:00,7,0,25,8,0.8,40,9
6/7/2025 14:00:00,6.9,0.3,29,7,0.9,40,9
6/7/2025 14:15:00,8.4,0.3,22,5,1.3,40,10
6/7/2025 14:30:00,6.7,0.3,28,6,0.7,40,8
6/7/2025 14:45:00,8.4,0.5,25,6,1.1,40,8
6/7/2025 15:00:00,7.3,0.2,27,6,1.2,40,10
6/7/2025 15:15:00,6.8,0.3,21,6,1,40,10
6/7/2025 15:30:00,7.2,0.6,23,6,1.4,40,9
6/7/2025 15:45:00,6.7,0.4,18,7,1,40,10
6/7/2025 16:00:00,7.6,0,29,7,0.9,40,9
6/7/2025 16:15:00,7.8,0.4,17,6,1.5,40,10
6/7/2025 16:30:00,8,0.4,21,7,0.7,40,10
6/7/2025 16:45:00,7.3,0.1,24,5,0.9,40,10
6/7/2025 17:00:00,4,0.5,25,6,1.4,40,9
6/7/2025 17:15:00,5,0.5,24,7,0.9,40,10
6/7/2025 17:30:00,8.2,0,23,6,1,40,10
6/7/2025 17:45:00,6.8,0.3,15,8,0.7,40,8
6/7/2025 18:00:00,6.5,0.3,26,6,1.2,40,8
6/7/2025 18:15:00,8.4,0.2,28,6,0.8,40,8
6/7/2025 18:30:00,6.9,0.4,29,6,1.3,40,8
6/7/2025 18:45:00,7.3,0.3,27,5,1,40,9
6/7/2025 19:00:00,7.3,0.4,19,5,1,40,9
6/7/2025 19:15:00,7.1,0.4,30,7,0.7,40,9
6/7/2025 19:30:00,6.9,0.5,19,7,0.8,40,9
6/7/2025 19:45:00,8.3,0,29,6,0.6,40,8
6/7/2025 20:00:00,7.3,0.4,42,8,1.3,40,10
6/7/2025 20:15:00,8,0.5,22,7,1.3,40,9
6/7/2025 20:30:00,6.5,0.1,21,7,0.7,40,10
6/7/2025 20:45:00,7.3,0.5,20,8,1.4,40,8
6/7/2025 21:00:00,8.4,0.2,20,7,0.8,40,9
6/7/2025 21:15:00,8.1,0.6,26,6,0.5,40,10
6/7/2025 21:30:00,6.6,0.1,25,7,0.6,40,10
6/7/2025 21:45:00,8.5,0,27,5,1.1,40,10
6/7/2025 22:00:00,8.1,0.2,24,6,0.5,40,9
6/7/2025 22:15:00,6.9,0.4,25,8,0.8,40,10
6/7/2025 22:30:00,6.7,0.3,27,6,1.1,40,8
6/7/2025 22:45:00,6.6,0.4,16,5,0.6,40,9
6/7/2025 23:00:00,7.9,0.3,26,6,1.4,40,8
6/7/2025 23:15:00,8,0.3,28,6,1.1,40,10
6/7/2025 23:30:00,7.6,0.5,27,13,1.4,40,10
6/7/2025 23:45:00,7.2,0.6,22,6,1,40,9
6/8/2025 0:00:00,7.4,0.4,17,6,1.2,40,8
6/8/2025 0:15:00,8.2,0.4,17,7,0.6,40,8
6/8/2025 0:30:00,6.8,0.5,19,6,1.3,40,9
6/8/2025 0:45:00,8.4,0.1,30,6,1.3,40,8
